File Name,Face Id,Distance b/w left eye and nose,Distance b/w right eye and nose,Distance b/w nose and left side of mouth,Distance b/w nose and right side of mouth,Smile Factor
frame0.jpg,76550e88ce69789a8280e4cc232fed61,10.05630929616173,9.544926057433171,15.156082250574185,14.957783139308297,13.0196
frame1.jpg,2a4f5b3529578cb6fc2cd9bcb84a791c,17.69712371735739,18.43083684486763,11.55610882356165,10.253140255876868,6.75269
frame10.jpg,2a5bdb1771cf64a2f661bd4dd76c2755,15.977762530403098,15.944814429015786,16.599474737701737,15.05895846414107,39.7753
frame11.jpg,14e30eebed70217fa77442b208af7027,13.961860142678967,16.13747089678991,15.701304782052818,15.216937234754258,31.1979
frame12.jpg,332e15774d2bab8eb4b02d5e33385c51,14.35931192756949,16.67882159560952,16.748975014913462,15.981423109224965,16.71
frame13.jpg,312657cfc33dc104d4090f4486a15d21,13.997830922584395,16.211359135204304,15.291189290791777,15.500945242062999,19.9936
frame14.jpg,f0ec88cc791ad7135ee20ebb3fa95d25,11.758633757953648,15.407734686289901,15.012808758270245,13.236970821705844,20.1827
frame2.jpg,1be307f8411e2f5cdebd2a1587d6eaa3,15.146283118859118,16.196738417781166,15.061451612107573,14.589040909438328,10.577
frame3.jpg,262fbfc13880bb92fb37b64967d5e9ca,17.348692760789366,18.398943024509546,11.362482941480144,9.9180260437663,28.9959
frame4.jpg,9ac3fa4302afe9f858ff5ddb5d0af145,13.052206953627385,12.212995586454872,12.210177376638503,11.967442444947014,90.035
frame5.jpg,5babf4d5af61aadc5ba703fd42115718,13.046627293140098,12.356398631607192,11.744595427045468,11.169486802312662,93.7203
frame6.jpg,b3d285e84ae2fbbd1f0cbb99c43920e6,15.181093086921605,14.536590771855076,13.99681390120782,13.13494557475196,75.0122
frame7.jpg,90ea78b4c52ac86b0193a9fd15d5ca31,15.018864940870182,16.67966933834923,14.71275158626727,13.389440945164322,42.8371
frame8.jpg,e04acd3e0a9c8806af6d96a60aea7d50,14.367576764935803,14.94467826656557,17.819197236888012,15.945469876946852,18.045
frame9.jpg,b03ee373ddc860ca003e0d09edb8d883,13.062915712372835,15.276611261465957,16.58179410967328,15.356759778269707,14.9625
